nohup: ignoring input
wandb: Currently logged in as: mahdikhashan1 (nano-apps) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /root/user/doom-drl/wandb/run-20250608_174433-b2copff0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run pious-silence-9
wandb: ⭐️ View project at https://wandb.ai/nano-apps/doom-rl
wandb: 🚀 View run at https://wandb.ai/nano-apps/doom-rl/runs/b2copff0
wandb: uploading artifact doom-model-ep200
wandb:                                                                                
wandb: 
wandb: Run history:
wandb: custom_rwd ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:    episode ▁▁▁▂▂▂▂▂▃▃▃▃▄▄▄▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇█████
wandb:    epsilon ███▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▅▅▄▄▄▄▄▃▃▃▃▃▂▂▂▂▂▁▁▁▁▁
wandb:       loss ▁▁▁▃▁▁▂▁▄▁▁▄▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▅▁▁▁█▁▁▁▅▅▁▃▁
wandb:     reward ▁▂█▁▂▁▂▂▁▂▃▂▂▁▂▁▂▁▁▁▁▁▁▂▁▂▁▁▁▁▁▁▂▁▁▂▁▂▂▁
wandb: 
wandb: Run summary:
wandb: custom_rwd 0
wandb:    episode 199
wandb:    epsilon 0.90481
wandb:       loss 0.0
wandb:     reward -0.5
wandb: 
wandb: 🚀 View run pious-silence-9 at: https://wandb.ai/nano-apps/doom-rl/runs/b2copff0
wandb: ⭐️ View project at: https://wandb.ai/nano-apps/doom-rl
wandb: Synced 5 W&B file(s), 0 media file(s), 4 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20250608_174433-b2copff0/logs
Host 37873
Player 37873
Ep 001: return   -0.4  |  ε 1.000
Ep 002: return   -0.2  |  ε 0.999
Ep 003: return   -0.5  |  ε 0.999
Ep 004: return   -0.4  |  ε 0.998
Ep 005: return   -0.5  |  ε 0.998
Ep 006: return   -0.3  |  ε 0.997
Ep 007: return   -0.6  |  ε 0.997
Ep 008: return   -0.4  |  ε 0.996
Ep 009: return   -1.0  |  ε 0.996
Ep 010: return   -0.3  |  ε 0.995
Ep 011: return   -0.5  |  ε 0.995
Ep 012: return   -0.2  |  ε 0.994
Ep 013: return   -0.6  |  ε 0.994
Ep 014: return   -0.8  |  ε 0.993
Ep 015: return   -0.7  |  ε 0.993
Ep 016: return   -0.7  |  ε 0.992
Ep 017: return   -0.4  |  ε 0.992
Ep 018: return   -0.2  |  ε 0.991
Ep 019: return    6.7  |  ε 0.991
Ep 020: return   -0.9  |  ε 0.990
Ep 021: return   -0.1  |  ε 0.990
Ep 022: return   -0.2  |  ε 0.989
Ep 023: return   -0.7  |  ε 0.989
Ep 024: return   -0.6  |  ε 0.988
Ep 025: return   -0.2  |  ε 0.988
Ep 026: return   -0.2  |  ε 0.987
Ep 027: return   -0.7  |  ε 0.987
Ep 028: return   -0.3  |  ε 0.986
Ep 029: return   -0.3  |  ε 0.986
Ep 030: return   -0.5  |  ε 0.985
Ep 031: return   -0.4  |  ε 0.985
Ep 032: return   -1.0  |  ε 0.984
Ep 033: return   -0.5  |  ε 0.984
Ep 034: return   -0.5  |  ε 0.983
Ep 035: return   -0.3  |  ε 0.983
Ep 036: return   -0.2  |  ε 0.982
Ep 037: return   18.5  |  ε 0.982
Ep 038: return   -0.4  |  ε 0.981
Ep 039: return   -0.3  |  ε 0.981
Ep 040: return   -0.3  |  ε 0.980
Ep 041: return   -0.7  |  ε 0.980
Ep 042: return   -0.7  |  ε 0.979
Ep 043: return   -0.3  |  ε 0.979
Ep 044: return   -0.8  |  ε 0.978
Ep 045: return    0.0  |  ε 0.978
Ep 046: return   -0.3  |  ε 0.977
Ep 047: return   -0.2  |  ε 0.977
Ep 048: return    0.0  |  ε 0.976
Ep 049: return    1.7  |  ε 0.976
Ep 050: return    0.0  |  ε 0.975
Ep 051: return   -0.5  |  ε 0.975
Ep 052: return   -0.7  |  ε 0.974
Ep 053: return   -0.3  |  ε 0.974
Ep 054: return   -0.7  |  ε 0.973
Ep 055: return   -0.5  |  ε 0.973
Ep 056: return    0.0  |  ε 0.972
Ep 057: return    6.6  |  ε 0.972
Ep 058: return   -0.4  |  ε 0.971
Ep 059: return   -0.2  |  ε 0.971
Ep 060: return   -0.5  |  ε 0.970
Ep 061: return   -0.5  |  ε 0.970
Ep 062: return   -0.3  |  ε 0.969
Ep 063: return   -0.5  |  ε 0.969
Ep 064: return   -0.3  |  ε 0.968
Ep 065: return   -1.1  |  ε 0.968
Ep 066: return   30.0  |  ε 0.968
Ep 067: return   -0.9  |  ε 0.967
Ep 068: return   -0.5  |  ε 0.967
Ep 069: return   -0.1  |  ε 0.966
Ep 070: return   -0.6  |  ε 0.966
Ep 071: return   -0.3  |  ε 0.965
Ep 072: return   -0.1  |  ε 0.965
Ep 073: return   -0.3  |  ε 0.964
Ep 074: return   -0.5  |  ε 0.964
Ep 075: return    1.9  |  ε 0.963
Ep 076: return   -0.1  |  ε 0.963
Ep 077: return   -0.2  |  ε 0.962
Ep 078: return   -0.5  |  ε 0.962
Ep 079: return   -0.4  |  ε 0.961
Ep 080: return   -0.4  |  ε 0.961
Ep 081: return   -0.3  |  ε 0.960
Ep 082: return    0.0  |  ε 0.960
Ep 083: return   -0.1  |  ε 0.959
Ep 084: return   -0.7  |  ε 0.959
Ep 085: return   -0.1  |  ε 0.958
Ep 086: return   -0.2  |  ε 0.958
Ep 087: return   -0.9  |  ε 0.957
Ep 088: return   -1.0  |  ε 0.957
Ep 089: return   -0.7  |  ε 0.956
Ep 090: return   -0.1  |  ε 0.956
Ep 091: return   -1.2  |  ε 0.956
Ep 092: return   -0.6  |  ε 0.955
Ep 093: return   -0.4  |  ε 0.955
Ep 094: return   -0.8  |  ε 0.954
Ep 095: return   -0.9  |  ε 0.954
Ep 096: return   -0.6  |  ε 0.953
Ep 097: return   -0.6  |  ε 0.953
Ep 098: return    9.6  |  ε 0.952
Ep 099: return   -0.8  |  ε 0.952
Ep 100: return    0.0  |  ε 0.951
--- Logged checkpoint to W&B at episode 100 ---
Ep 101: return   -0.1  |  ε 0.951
Ep 102: return   -0.5  |  ε 0.950
Ep 103: return   -0.5  |  ε 0.950
Ep 104: return   -0.6  |  ε 0.949
Ep 105: return   -0.2  |  ε 0.949
Ep 106: return   -0.2  |  ε 0.948
Ep 107: return   -0.8  |  ε 0.948
Ep 108: return   -0.5  |  ε 0.947
Ep 109: return   -0.7  |  ε 0.947
Ep 110: return   -0.5  |  ε 0.946
Ep 111: return   -0.7  |  ε 0.946
Ep 112: return   -1.1  |  ε 0.946
Ep 113: return   -0.9  |  ε 0.945
Ep 114: return   -0.4  |  ε 0.945
Ep 115: return   -0.2  |  ε 0.944
Ep 116: return    1.7  |  ε 0.944
Ep 117: return   -0.6  |  ε 0.943
Ep 118: return   -1.1  |  ε 0.943
Ep 119: return   -1.0  |  ε 0.942
Ep 120: return   -0.4  |  ε 0.942
Ep 121: return   -0.1  |  ε 0.941
Ep 122: return   -0.5  |  ε 0.941
Ep 123: return   -0.1  |  ε 0.940
Ep 124: return   -0.1  |  ε 0.940
Ep 125: return   -0.8  |  ε 0.939
Ep 126: return   -0.1  |  ε 0.939
Ep 127: return   -0.5  |  ε 0.938
Ep 128: return   -0.6  |  ε 0.938
Ep 129: return   -0.2  |  ε 0.938
Ep 130: return   -0.5  |  ε 0.937
Ep 131: return   -0.6  |  ε 0.937
Ep 132: return   -0.5  |  ε 0.936
Ep 133: return   17.4  |  ε 0.936
Ep 134: return   -0.8  |  ε 0.935
Ep 135: return   -0.6  |  ε 0.935
Ep 136: return   -0.6  |  ε 0.934
Ep 137: return   -0.3  |  ε 0.934
Ep 138: return   -0.7  |  ε 0.933
Ep 139: return   -1.0  |  ε 0.933
Ep 140: return   -0.1  |  ε 0.932
Ep 141: return   -0.2  |  ε 0.932
Ep 142: return   -1.0  |  ε 0.931
Ep 143: return    0.0  |  ε 0.931
Ep 144: return   -0.5  |  ε 0.931
Ep 145: return   -0.5  |  ε 0.930
Ep 146: return   -0.1  |  ε 0.930
Ep 147: return   -0.6  |  ε 0.929
Ep 148: return   -0.5  |  ε 0.929
Ep 149: return    0.0  |  ε 0.928
Ep 150: return   -0.3  |  ε 0.928
Ep 151: return   -0.8  |  ε 0.927
Ep 152: return    5.9  |  ε 0.927
Ep 153: return   -0.5  |  ε 0.926
Ep 154: return    0.0  |  ε 0.926
Ep 155: return   -0.5  |  ε 0.925
Ep 156: return   -0.6  |  ε 0.925
Ep 157: return   -0.2  |  ε 0.924
Ep 158: return   -0.7  |  ε 0.924
Ep 159: return   -1.0  |  ε 0.924
Ep 160: return   -0.6  |  ε 0.923
Ep 161: return   -0.5  |  ε 0.923
Ep 162: return   -0.9  |  ε 0.922
Ep 163: return   -1.0  |  ε 0.922
Ep 164: return    4.4  |  ε 0.921
Ep 165: return   -0.3  |  ε 0.921
Ep 166: return   -0.1  |  ε 0.920
Ep 167: return   -0.7  |  ε 0.920
Ep 168: return   -0.1  |  ε 0.919
Ep 169: return   -0.3  |  ε 0.919
Ep 170: return   -0.6  |  ε 0.918
Ep 171: return   -0.4  |  ε 0.918
Ep 172: return   -0.1  |  ε 0.918
Ep 173: return   -0.5  |  ε 0.917
Ep 174: return    0.0  |  ε 0.917
Ep 175: return   -0.5  |  ε 0.916
Ep 176: return   -0.9  |  ε 0.916
Ep 177: return   -0.1  |  ε 0.915
Ep 178: return   -0.1  |  ε 0.915
Ep 179: return   -0.4  |  ε 0.914
Ep 180: return   -0.7  |  ε 0.914
Ep 181: return   -0.6  |  ε 0.913
Ep 182: return   -0.4  |  ε 0.913
Ep 183: return   -0.5  |  ε 0.913
Ep 184: return   -0.1  |  ε 0.912
Ep 185: return    0.0  |  ε 0.912
Ep 186: return   -0.2  |  ε 0.911
Ep 187: return   -0.4  |  ε 0.911
Ep 188: return   -0.9  |  ε 0.910
Ep 189: return   -0.4  |  ε 0.910
Ep 190: return   -0.8  |  ε 0.909
Ep 191: return   -0.3  |  ε 0.909
Ep 192: return   -0.9  |  ε 0.908
Ep 193: return   -0.5  |  ε 0.908
Ep 194: return    0.0  |  ε 0.908
Ep 195: return   -0.2  |  ε 0.907
Ep 196: return    6.3  |  ε 0.907
Ep 197: return   -0.6  |  ε 0.906
Ep 198: return   -0.3  |  ε 0.906
Ep 199: return   -0.5  |  ε 0.905
Ep 200: return   -0.5  |  ε 0.905
--- Logged checkpoint to W&B at episode 200 ---
