nohup: ignoring input
wandb: Currently logged in as: mahdikhashan1 (nano-apps) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /root/user/doom-drl/wandb/run-20250609_090626-1lem30cp
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run winter-silence-24
wandb: ⭐️ View project at https://wandb.ai/nano-apps/doom-rl
wandb: 🚀 View run at https://wandb.ai/nano-apps/doom-rl/runs/1lem30cp
Host 32911
Player 32911
Ep 001: return  947.6  |  ε 1.000
Ep 002: return  -36.6  |  ε 0.999
Ep 003: return  -18.7  |  ε 0.999
Ep 004: return  941.3  |  ε 0.998
Ep 005: return 1954.8  |  ε 0.998
Ep 006: return   -9.4  |  ε 0.997
Ep 007: return  -42.8  |  ε 0.997
Ep 008: return    0.0  |  ε 0.996
Ep 009: return  -15.5  |  ε 0.996
Ep 010: return  -37.2  |  ε 0.995
Ep 011: return  -11.4  |  ε 0.995
Ep 012: return  921.8  |  ε 0.994
Ep 013: return  -29.3  |  ε 0.994
Ep 014: return  940.1  |  ε 0.993
Ep 015: return  948.0  |  ε 0.993
Ep 016: return  -33.5  |  ε 0.992
Ep 017: return  -37.0  |  ε 0.992
Ep 018: return  -13.7  |  ε 0.991
Ep 019: return  -17.9  |  ε 0.991
Ep 020: return  -17.8  |  ε 0.990
Ep 021: return  -15.6  |  ε 0.990
Ep 022: return   -9.9  |  ε 0.989
Ep 023: return   -5.2  |  ε 0.989
Ep 024: return   -9.9  |  ε 0.988
Ep 025: return  948.1  |  ε 0.988
Ep 026: return  -29.3  |  ε 0.987
Ep 027: return  -25.9  |  ε 0.987
Ep 028: return  -20.5  |  ε 0.986
